,0,1,2,3
950,1144,226868,15,0
951,1145,312799,14,0
952,1146,312799,17,0
953,1147,312799,20,0
954,1148,312799,2,0
955,1149,312799,16,0
956,1150,312799,3,0
957,1151,312799,12,0
958,1152,312799,10,0
959,1153,312799,11,0
960,1154,312799,4,0
961,1155,312799,11,0
962,1156,312799,0,4
963,1157,316377,30,0
964,1158,316377,8,0
965,1159,316377,4,0
966,1160,316377,39,0
967,1161,316377,3,0
968,1162,316377,7,0
969,1163,316221,11,0
970,1164,314490,18,0
971,1165,314490,22,0
972,1166,314490,19,0
973,1167,314490,21,0
974,1168,314490,7,0
975,1169,314490,21,0
976,1170,314490,2,0
977,1171,314490,16,0
978,1172,314490,11,0
979,1173,314489,20,0
980,1174,314489,21,0
981,1175,314489,22,0
982,1176,314489,8,0
983,1177,314489,16,0
984,1178,226833,2,0
985,1179,226833,23,0
986,1180,226833,14,0
987,1184,226832,14,0
988,1185,226832,13,0
989,1186,226832,0,20
990,1187,226832,0,21
991,1188,350037,15,0
992,1189,350037,19,0
993,1190,350037,28,0
994,1195,227387,17,0
995,1196,227387,16,0
996,1197,227387,12,0
997,1198,227387,11,0
998,1199,227387,11,0
999,1210,227386,6,0
